source,news_headline,description,url,datetime,content
BusinessLine,"Reliance AGM 2024 Highlights: Mukesh Ambani announces 26% efficient bifacial solar panels, 30 GWh battery facility by 2024","Reliance 47th Annual General Meeting Highlights, RIL AGM 2024 Updates: Reliance Industries is shifting towards becoming a deep tech company, as Chairman Mukesh Ambani highlighted during the 47th Annual General Meeting. Emphasizing artificial intelligence as a…",https://www.thehindubusinessline.com/companies/reliance-agm-2024-highlights-ril-47th-annual-general-meeting-news-updates/article68580061.ece,2024-08-29T06:23:24Z,"<li></li>
August 29, 2024 16:13RIL AGM 2024 Live: Mukesh says India needs more companies like Reliance for a prosperous, modern nation by 2047
Mukesh stated, India needs many more companies like Re… [+29846 chars]"
NDTV News,Manu Reveals PM Modi's Words After Tokyo Heartbreak That Lifted Her Spirits,Manu Bhaker reminisced about her interactions with Prime Minister Narendra Modi and offered her perspective on the inspiration he bestows upon athletes.,https://sports.ndtv.com/othersports/manu-bhaker-reveals-pm-narendra-modis-words-after-tokyo-olympics-heartbreak-that-lifted-her-spirits-6442599,2024-08-29T06:19:57Z,"On the occasion of National Sports Day, Indian Olympic medallist pistol shooter Manu Bhaker reminisced about her interactions with Prime Minister Narendra Modi and offered her perspective on the insp… [+1714 chars]"
RT,India to build 12 industrial hubs to boost exports,"The new smart cities will position India as a strong player in the global value chain, New Delhi has said Read Full Article at RT.com",https://www.rt.com/india/603233-india-industrial-smart-cities/,2024-08-29T06:17:48Z,The Indian government on Wednesday approved the creation of 12 industrial smart cities with an investment of around 268 billion rupees ($3.2 billion). They will be built over the next three years acr… [+2533 chars]
Business Standard,"Mandaviya, Zafar Iqbal pay tribute to Dhyan Chand on National Sports Day","Sports Minister Mansukh Mandaviya was joined by hockey legend Zafar Iqbal in paying tribute to Major Dhyan Chand on the National Sports Day here, with the latter also emphasising on the need to focus on disciplines like table tennis and swimming for bigger me…",https://www.business-standard.com/sports/other-sports-news/mandaviya-zafar-iqbal-pay-tribute-to-dhyan-chand-on-national-sports-day-124082900317_1.html,2024-08-29T06:15:34Z,"The birth anniversary of hockey wizard Major Dhyan Chand, who won gold medals in three successive Olympic during the pre-independence era, is celebrated as the National Sports Day
Dhyan Chand
Press… [+4371 chars]"
NDTV News,"""Perform, Reform, Transform, Inform"": PM's Four-Point Mantra For Ministers","Prime Minister Narendra Modi, chairing a marathon meeting with his ministerial colleagues to review the functioning of the government, exhorted them to work without rest and gave a new four-point mantra of ""Perform, Reform, Transform, Inform"".",https://www.ndtv.com/india-news/prime-minister-narendra-modis-four-point-mantra-for-ministers-perform-reform-transform-inform-6440454,2024-08-29T06:03:43Z,"PM Modi specifically spoke to the new Ministers inducted in his Cabinet for the first time.
New Delhi: Prime Minister Narendra Modi, chairing a marathon meeting with his ministerial colleagues to re… [+2203 chars]"
The Times of India,Govt committed to supporting sports: PM Modi on National Sports Day,Prime Minister Narendra Modi paid tribute to hockey legend Major Dhyan Chand on National Sports Day. He emphasized the government's commitment to supporting sports and encouraging youth participation. National Sports Day is observed annually on August 29 to c…,https://economictimes.indiatimes.com/news/sports/govt-committed-to-supporting-sports-pm-modi-on-national-sports-day/articleshow/112885426.cms,2024-08-29T05:19:00Z,"Prime Minister Narendra Modi on Thursday paid homage to hockey legend Major Dhyan Chand on the National Sports Day, and said his government is committed to supporting sports and ensuring more youth a… [+557 chars]"
NDTV News,Ajit Pawar's NCP To Hold Silent Protest Over Shivaji Statue Collapse,"In signs of rumblings within the ruling coalition in Maharashtra months before state polls, the NCP faction led by Deputy Chief Minister Ajit Pawar has condemned the collapse of a statue of Chhatrapati Shivaji and given the call for a silent protest",https://www.ndtv.com/india-news/ajit-pawars-ncp-to-lead-silent-protest-over-shivaji-statue-collapse-6442360,2024-08-29T05:02:57Z,"The protest call by Ajit Pawar's NCP is politically significant ahead of the Maharashtra polls
Mumbai: In signs of rumblings within the ruling coalition in Maharashtra months before state polls, the… [+3102 chars]"
The Times of India,"PM Modi speaks to Gujarat CM Bhupendra Patel, enquires about flood situation and relief measures",Prime Minister Narendra Modi had a telephonic conversation with Gujarat Chief Minister Bhupendra Patel to discuss flooding in the state. Modi sought details on relief measures and offered central government support. The Indian Army and NDRF are involved in re…,https://economictimes.indiatimes.com/news/india/pm-modi-speaks-to-gujarat-cm-bhupendra-patel-enquires-about-flood-situation-and-relief-measures/articleshow/112884510.cms,2024-08-29T04:39:50Z,Gujarat Chief Minister Bhupendra Patel said that Prime Minister Narendra Modi had a telephonic conversation with him on Thursday morning where he enquired about the flood situation and relief measure… [+2183 chars]
NDTV News,"""Very Bad Situation"": Star India Spinner Rescued By NDRF Amid Gujarat Rains",Indian women's cricket team spinner Radha Yadav took to social media to share that she was in a 'very bad situation' due to the flooding in Gujarat.,https://sports.ndtv.com/cricket/very-bad-situation-star-india-spinner-rescued-by-ndrf-amid-gujarat-rains-6441809,2024-08-29T03:04:54Z,"A number of cities in Gujarat faced flood-like situations following heavy showers in the past few days. The situation was quite bad in Vadodara where although the rain did take a pause, low-lying are… [+2336 chars]"
Livemint,"MP Regional Investors Meet: Govt attracts ₹8k crore investment at industry conclave, Adani group to invest 3.5k crore","Industry conclave: The Madhya Pradesh government on attracted a total investment of  ₹8,000 crore at Industry Conclave. The total investment includes  ₹3,500 crore from Adani group",https://www.livemint.com/companies/news/mp-regional-investors-meet-govt-attracts-rs-8k-crore-investment-at-industry-conclave-adani-group-to-invest-3-5k-crore-11724899388295.html,2024-08-29T02:52:51Z,"The Madhya Pradesh government's regional industry conclave on Wednesday attracted investment proposals totalling 8,000 crore across various sectors, including 3,500 crore by Adani Group.
Besides, Re… [+3271 chars]"
